Title,Location,Company,Salary,Advert Date
Senior Education Account Manager,Liverpool,Angel Solutions,,29/4/2021
MI Analyst 12 month FTC - Liverpool - Power BI essential,Liverpool,Michael Page UK,"£20,000 - £30,000 a year",
FP&A Analyst,Wirral,Accountable Recruitment,"£30,000 - £40,000 a year",8/3/2021
Security Operations Analyst,Liverpool,Camelot Group,,May 2021
Test Analyst,Liverpool,Proactive.IT Appointments,"£33,000 - £35,000 a year",27/3/2021
Financial Analyst,Ellesmere Port,Adele Carr Financial Recruitment,"£24,000 - £27,000 a year",6/4/2021
Senior Education Account Manager,Liverpool,Angel Solutions Ltd,,4/3/2021
MS SQL DBA/Database Administrator,Ellesmere Port,OCC Computing,"£40,000 - £50,000 a year",12/5/2021
Senior Java Developer,Liverpool,Harnham,£475 - £500 a day,0/3/2021
Senior Solution Architect,,CGI,,15/4/2021
Senior Sales Operations Analyst,,Red Recruitment,,20/4/2021
Insight Analyst - 12 Month FTC,,Close Brothers Motor Finance,,26/5/2021
Insight Analyst,Doncaster,DFS,,22/4/2021
Commercial Data Analyst,Doncaster,Unipart Rail,"£25,000 a year",April 2021
Service Desk Analyst,Doncaster,Thales Group,,10/4/2021
Insight Analyst,Doncaster,Harnham,"£30,000 - £35,000 a year",May 2021
Insight Analyst - 12 Month FTC,Doncaster,Close Brothers Group,,21/4/2021
Commercial Analyst,Doncaster,Keepmoat Homes,,19/3/2021
Financial Analyst,Doncaster,Unipart Rail,"£25,000 a year",12/4/2021
Asbestos Analyst Roles,South Yorkshire,TTL,,4/3/2021
Cyber Security Engineer,Doncaster,Thales Group,,April 2021
Insight Analyst (12 month contract),Doncaster,Brewster Partners,,April 2021
SERVICE DESIGNER,South Yorkshire,Bangura Solutions,,May 2021
Business Analyst - Markets and Trends,,Cirrus Selection,"£55,000 - £65,000 a year",29/3/2021
Delivery Planning Analyst,,Metrica Recruitment,"£35,000 - £40,000 a year",15/3/2021
Transport Analyst,,Metrica Recruitment,"£30,000 - £35,000 a year",15/5/2021
Data Analyst,,Eurowagens,"£25,000 - £28,000 a year",March 2021
Operational Research Analyst,,Metrica Recruitment,"£30,000 - £40,000 a year",
eCommerce Analyst,,Metrica Recruitment,"£28,000 - £32,000 a year",26/4/2021
Data Analyst - Business Systems,Stevenage,Accountancy Action,"£35,000 a year",April 2021
Data Analyst,Letchworth,Eurowagens,"£25,000 - £28,000 a year",23/5/2021
IT Data Integrity Analyst,Stevenage,Blackfield Associates,"£42,000 a year",14/5/2021
Mathematical Modeller/Analyst - Lethality,Stevenage,MBDA,,
